Spelnamn,Rating,#Reviews,Rabatt%,Pris,OrdinariePris,Utgivningsår,Win,Lin,OSX,Tid
Counter-Strike: Global Offensive,9,4962010,,Unavailable,Unavailable,"21 Aug, 2012",1,1,1,25.11.2020
DOOM Eternal,9,72663,67,"19,79€","59,99€","19 Mar, 2020",1,0,0,25.11.2020
The Sims™ 4,9,4727,88,"4,79€","39,99€","18 Jun, 2020",1,0,0,25.11.2020
theHunter: Call of the Wild™,9,48197,70,"5,99€","19,99€","16 Feb, 2017",1,0,0,25.11.2020
Red Dead Redemption 2,9,109781,33,"40,19€","59,99€","5 Dec, 2019",1,0,0,25.11.2020
Crusader Kings III,9,21813,20,"39,99€","49,99€","1 Sep, 2020",1,1,1,25.11.2020
Halo: The Master Chief Collection,9,106759,35,"25,99€","39,99€","3 Dec, 2019",1,0,0,25.11.2020
STAR WARS Jedi: Fallen Order™,9,52087,60,"23,99€","59,99€","15 Nov, 2019",1,0,0,25.11.2020
DEATH STRANDING,9,18421,50,"29,99€","59,99€","14 Jul, 2020",1,0,0,25.11.2020
Total War: WARHAMMER II,9,53651,66,"20,39€","59,99€","28 Sep, 2017",1,1,1,25.11.2020
Grand Theft Auto V,9,860372,50,"14,99€","29,99€","13 Apr, 2015",1,0,0,25.11.2020
Hades,10,57546,20,"16,79€","20,99€","17 Sep, 2020",1,0,1,25.11.2020
Control Ultimate Edition,9,6314,50,"19,99€","39,99€","27 Aug, 2020",1,0,0,25.11.2020
DARK SOULS III Deluxe Edition,9,142825,75,"21,24€","84,98€","11 Apr, 2016",1,0,0,25.11.2020
Among Us,10,341125,20,"3,19€","3,99€","16 Nov, 2018",1,0,0,25.11.2020
Borderlands 3,9,41790,67,"19,79€","59,99€","13 Mar, 2020",1,0,0,25.11.2020
Hearts of Iron IV,9,78512,75,"9,99€","39,99€","6 Jun, 2016",1,1,1,25.11.2020
DARK SOULS™ III,9,141600,75,"14,99€","59,99€","11 Apr, 2016",1,0,0,25.11.2020
Sid Meier’s Civilization® VI,9,92890,75,"14,99€","59,99€","20 Oct, 2016",1,1,1,25.11.2020
Black Desert Online,7,27811,70,"2,99€","9,99€","24 May, 2017",1,0,0,25.11.2020
Sea of Thieves,9,44783,25,"29,99€","39,99€","3 Jun, 2020",1,0,0,25.11.2020
Euro Truck Simulator 2,10,266674,75,"4,99€","19,99€","12 Oct, 2012",1,1,1,25.11.2020
Phasmophobia,10,97287,10,"10,43€","11,59€","18 Sep, 2020",1,0,0,25.11.2020
The Witcher 3: Wild Hunt - Game of the Year Edition,10,407771,70,"14,99€","49,99€","30 Aug, 2016",1,0,0,25.11.2020
Resident Evil 3,7,22087,67,"19,79€","59,99€","2 Apr, 2020",1,0,0,25.11.2020
Sid Meier's Civilization VI : Platinum Edition,9,100216,76,"39,69€","167,91€",,1,1,1,25.11.2020
Tom Clancy's Rainbow Six® Siege,9,657277,67,"9,89€","29,99€","1 Dec, 2015",1,0,0,25.11.2020
Stellaris,9,64752,75,"9,99€","39,99€","9 May, 2016",1,1,1,25.11.2020
Divinity: Original Sin 2 - Definitive Edition,10,92687,60,"17,99€","44,99€","14 Sep, 2017",1,0,1,25.11.2020
The Witcher® 3: Wild Hunt,10,396780,70,"8,99€","29,99€","18 May, 2015",1,0,0,25.11.2020
The Elder Scrolls® Online,9,70889,60,"7,99€","19,99€","22 May, 2017",1,0,1,25.11.2020
Shadow of the Tomb Raider: Definitive Edition,9,30148,87,"14,80€","109,96€",,1,1,1,25.11.2020
Metro Exodus,9,30563,60,"15,99€","39,99€","14 Feb, 2020",1,0,0,25.11.2020
Assetto Corsa Competizione,9,7981,60,"15,99€","39,99€","29 May, 2019",1,0,0,25.11.2020
Noita,10,17452,25,"14,24€","18,99€","15 Oct, 2020",1,0,0,25.11.2020
Titanfall® 2,10,29927,67,"9,89€","29,99€","18 Jun, 2020",1,0,0,25.11.2020
Far Cry® 5,7,70210,80,"11,99€","59,99€","26 Mar, 2018",1,0,0,25.11.2020
Assassin's Creed® Odyssey,9,74474,70,"17,99€","59,99€","5 Oct, 2018",1,0,0,25.11.2020
Rust,9,385603,33,"22,77€","33,99€","8 Feb, 2018",1,0,1,25.11.2020
Deep Rock Galactic,10,45923,30,"20,99€","29,99€","13 May, 2020",1,0,0,25.11.2020
EA SPORTS™ FIFA 21,7,6062,42,"34,79€","59,99€","8 Oct, 2020",1,0,0,25.11.2020
PLAYERUNKNOWN'S BATTLEGROUNDS,6,1336191,50,"14,99€","29,99€","21 Dec, 2017",1,0,0,25.11.2020
Mafia: Definitive Edition,9,14019,25,"29,99€","39,99€","24 Sep, 2020",1,0,0,25.11.2020
Warhammer: Vermintide 2,9,43471,75,"6,99€","27,99€","8 Mar, 2018",1,0,0,25.11.2020
EA STAR WARS™ TRIPLE BUNDLE,9,71850,67,"49,89€","149,97€",,1,0,0,25.11.2020
The Elder Scrolls V: Skyrim Special Edition,9,52461,60,"15,99€","39,99€","27 Oct, 2016",1,0,0,25.11.2020
STAR WARS™: Squadrons,7,12878,40,"23,99€","39,99€","1 Oct, 2020",1,0,0,25.11.2020
Dota 2,9,1400480,,Unavailable,Unavailable,"9 Jul, 2013",1,1,1,25.11.2020
DayZ,6,205248,40,"23,99€","39,99€","13 Dec, 2018",1,0,0,25.11.2020
